PartNum,TotalSpend,CumSpend,CumSpend_Pct,ABC,XYZ,ABCXYZ
TRK9255,122837.0,55357244.75139198,45.94110288644106,A,Z,AZ
TRK9254,122837.0,55480081.75139198,46.04304559115127,A,Z,AZ
TRK9258,122837.0,55602918.75139198,46.144988295861474,A,Z,AZ
TRK9260,122837.0,55725755.75139198,46.24693100057168,A,Z,AZ
TRK9224,122837.0,55848592.75139198,46.34887370528188,A,Z,AZ
TRK9256,122803.0,55971395.75139198,46.45078819331503,A,Z,AZ
6310368-1,122706.35,56094102.10139198,46.55262247129412,A,Y,AY
TRK9310,122420.0,56216522.10139198,46.65421910675919,A,Z,AZ
TRK9267,122244.0,56338766.10139198,46.75566967942537,A,Z,AZ
TRK9225,122217.0,56460983.10139198,46.85709784473034,A,Z,AZ
TRK9223,122217.0,56583200.10139198,46.958526010035314,A,Z,AZ
TRK9222,122217.0,56705417.10139198,47.05995417534029,A,Z,AZ
3182312,122176.1,56827593.20139198,47.16134839764257,A,X,AX
Q741110041-3,121604.73999999999,56949197.94139198,47.26226844698586,A,X,AX
6454094,120464.0,57069661.94139198,47.362241793617656,A,X,AX
6303929,120096.69,57189758.63139198,47.46191030884794,A,Y,AY
3371051,119881.74,57309640.37139198,47.56140043658605,A,Y,AY
4014154,119859.45,57429499.821391985,47.66087206580264,A,Y,AY
6601774,119534.52,57549034.34139199,47.76007403487577,A,Z,AZ
6200602,119397.34,57668431.68139199,47.859162157955986,A,Y,AY
Q741110162-5,119357.336,57787789.017391995,47.95821708162593,A,Y,AY
TRK9280,119193.0,57906982.017391995,48.05713562247701,A,Z,AZ
TRK9281,119193.0,58026175.017391995,48.156054163328086,A,Z,AZ
TRK9282,119193.0,58145368.017391995,48.25497270417916,A,Z,AZ
6604597,118953.0,58264321.017391995,48.353692068486275,A,X,AX
6500443,118814.68,58383135.697391994,48.45229664071189,A,Y,AY
3371044,118663.4,58501799.09739199,48.550775665322625,A,Y,AY
6453653-7,118659.0,58620458.09739199,48.64925103836339,A,Z,AZ
3352610,118435.2,58738893.297391996,48.74754067927691,A,X,AX
6304227,118404.0,58857297.297391996,48.84580442723972,A,X,AX
6310345-1,118329.12,58975626.41739199,48.944006032120804,A,X,AX
S241003,117800.76000000001,59093427.17739199,49.04176914984037,A,Y,AY
6425066,117446.39,59210873.56739199,49.13923817509375,A,Y,AY
6309354,117026.19024,59327899.757631995,49.236358475613926,A,X,AX
Q74111005-4,116584.62,59444484.37763199,49.33311231599111,A,Y,AY
TRK9285,116167.0,59560651.37763199,49.42951957258374,A,Z,AZ
6702238,116021.5,59676672.87763199,49.52580607839662,A,Y,AY
