PartNum,StdDailyDemand,MeanDailyDemand,stddev_method,TransactionDays,LeadTimeDays,lead_time_source,ABC,safety_stock
02233088,1.25,0.02843216896831844,estimated,2,21.0,actual,C,8
0223439,12.163086187179031,0.6580016246953696,empirical,5,5.0,actual,C,35
0223529,1.6844990553547072,0.08935824532900082,empirical,5,5.0,actual,C,5
0223562,0.0,0.016246953696181964,estimated,2,30.0,actual,C,0
0223574,0.0,0.003249390739236393,estimated,1,21.0,actual,C,0
0224613,0.5,0.005686433793663688,estimated,4,21.0,actual,C,3
0224638,0.0,0.002437043054427295,estimated,1,21.0,actual,C,0
0225733,0.0,0.020308692120227456,estimated,1,21.0,actual,C,0
0225938,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0226078,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0226255,0.0,0.0016246953696181965,estimated,1,21.0,actual,C,0
0226458,0.0,0.008123476848090982,estimated,1,21.0,actual,C,0
0226718,0.25,0.004061738424045491,estimated,2,21.0,actual,C,2
0226921,1.5,0.012997562956945572,estimated,2,21.0,actual,C,9
0226927,2.5,0.016246953696181964,estimated,2,21.0,actual,C,15
0227369,0.25,0.004061738424045491,estimated,2,21.0,actual,C,2
0227597,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0227701,0.0,0.008123476848090982,estimated,1,21.0,actual,C,0
0227798,0.75,0.004061738424045491,estimated,2,21.0,actual,C,5
0228011,1.8667547868558876,0.10560519902518278,empirical,5,5.0,actual,C,6
0229834,0.5,0.006498781478472786,estimated,2,21.0,actual,C,3
0229938,0.0,0.002437043054427295,estimated,1,21.0,actual,C,0
023206,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0233336,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0233425,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0233519,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0233622,0.0,0.01949634443541836,estimated,1,21.0,actual,C,0
0235230,0.0,0.04061738424045491,estimated,1,21.0,actual,C,0
0236388,0.0,0.0016246953696181965,estimated,1,21.0,actual,C,0
0237639,0.0,0.0016246953696181965,estimated,1,21.0,actual,C,0
0237785,0.0,0.004061738424045491,estimated,1,21.0,actual,C,0
0237789,0.0,0.003249390739236393,estimated,1,21.0,actual,C,0
0238627,0.25,0.002437043054427295,estimated,2,21.0,actual,C,2
0238636,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0243879,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0244307,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0244851,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0246070,0.0,0.002437043054427295,estimated,1,21.0,actual,C,0
024674,0.0,0.0016246953696181965,estimated,1,21.0,actual,C,0
0247086,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
024724,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
024727,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
024731,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
024737,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0248013,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0249099,0.75,0.00974817221770918,estimated,3,21.0,actual,C,5
0251298,0.0,0.0016246953696181965,estimated,1,21.0,actual,C,0
0253023,0.0,0.004061738424045491,estimated,1,21.0,actual,C,0
0254028,1.25,0.012185215272136474,estimated,2,21.0,actual,C,8
0254667,0.0,0.0016246953696181965,estimated,1,21.0,actual,C,0
0254SDSR41A-P,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0255547,0.0,0.00487408610885459,estimated,1,21.0,actual,C,0
0255812,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
02558230127,0.0,0.008123476848090982,estimated,2,21.0,actual,C,0
02558230167,1.75,0.01380991064175467,estimated,2,21.0,actual,C,11
02558240347,0.0,0.00974817221770918,estimated,1,21.0,actual,C,0
0257878,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0257915,0.0,0.004061738424045491,estimated,1,21.0,actual,C,0
0257994,0.0,0.0016246953696181965,estimated,1,21.0,actual,C,0
0258005,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0259004,0.0,0.002437043054427295,estimated,1,21.0,actual,C,0
0259171,0.0,0.004061738424045491,estimated,1,21.0,actual,C,0
0259235,0.0,0.004061738424045491,estimated,1,21.0,actual,C,0
0259245,1.0,0.012997562956945572,estimated,4,21.0,actual,C,6
0259257,0.0,0.0016246953696181965,estimated,1,21.0,actual,C,0
0259367,0.0,0.0016246953696181965,estimated,1,21.0,actual,C,0
0259562,0.25,0.002437043054427295,estimated,2,21.0,actual,C,2
0259570,0.0,0.00487408610885459,estimated,2,21.0,actual,C,0
0259578,0.25,0.002437043054427295,estimated,2,21.0,actual,C,2
0265030,0.0,0.003249390739236393,estimated,1,21.0,actual,C,0
0265095,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
026627,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0267634,0.0,0.003249390739236393,estimated,1,21.0,actual,C,0
0269150,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0271546,20.0,0.11372867587327376,estimated,3,5.0,actual,C,58
0271547-CR,0.0,0.04061738424045491,estimated,1,30.0,actual,C,0
0271723-CR,12.5,0.12185215272136475,estimated,2,30.0,actual,C,88
0271781,5.0,0.04061738424045491,estimated,3,5.0,actual,C,15
0273469,17.58790972133961,1.190089358245329,empirical,8,30.0,actual,C,124
0274636,0.0,0.008123476848090982,estimated,1,0.0,actual,C,0
027658,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0281832,0.0,0.004061738424045491,estimated,1,21.0,actual,C,0
0282986,1.0,0.006498781478472786,estimated,2,21.0,actual,C,6
028445,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0292528,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
02964609,0.0,0.0016246953696181965,estimated,1,21.0,actual,C,0
0297641,0.0,0.008123476848090982,estimated,1,21.0,actual,C,0
0297646,0.0,0.008123476848090982,estimated,1,21.0,actual,C,0
0297654,0.0,0.008123476848090982,estimated,1,21.0,actual,C,0
0301913,0.0,0.00487408610885459,estimated,1,21.0,actual,C,0
0304XSSB41A-P,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0306481,0.0,0.002437043054427295,estimated,1,21.0,actual,C,0
0306484,0.0,0.002437043054427295,estimated,1,21.0,actual,C,0
03070522,0.0,0.002437043054427295,estimated,1,21.0,actual,C,0
03084965,0.0,0.0016246953696181965,estimated,1,21.0,actual,C,0
0309298,0.0,0.0016246953696181965,estimated,1,21.0,actual,C,0
0310412,0.0,0.012185215272136474,estimated,1,21.0,actual,C,0
03106393,0.0,0.00974817221770918,estimated,1,21.0,actual,C,0
03106439,0.0,0.0016246953696181965,estimated,1,21.0,actual,C,0
0310765,0.0,0.00974817221770918,estimated,1,21.0,actual,C,0
0312222,0.0,0.0016246953696181965,estimated,1,21.0,actual,C,0
0312223,0.25,0.004061738424045491,estimated,2,21.0,actual,C,2
03126766,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
03133485,0.0,0.0016246953696181965,estimated,1,21.0,actual,C,0
0316941,0.0,0.006498781478472786,estimated,1,21.0,actual,C,0
0318596,0.0,0.008123476848090982,estimated,1,21.0,actual,C,0
0318953,0.0,0.006498781478472786,estimated,1,21.0,actual,C,0
0320751,0.0,0.004061738424045491,estimated,1,21.0,actual,C,0
0322304,0.0,0.002437043054427295,estimated,1,21.0,actual,C,0
0322603,0.5,0.008123476848090982,estimated,2,21.0,actual,C,3
0323-0292,0.0,0.0016246953696181965,estimated,1,21.0,actual,C,0
0323419,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0323441,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0323974,0.0,0.004061738424045491,estimated,1,21.0,actual,C,0
0324901,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0325374,0.0,0.003249390739236393,estimated,1,21.0,actual,C,0
0326751,0.0,0.016246953696181964,estimated,1,21.0,actual,C,0
