PartNum,annual_demand,avg_unit_cost,holding_cost_per_unit,eoq,orders_per_year,avg_cycle_stock,total_annual_cost,ordering_cost_assumption,holding_cost_rate
10001012,1095.0,9.3,2.325,217.02,5.05,108.51,504.79,50,0.25
10001032,730.0,0.0,0.0,,,,,50,0.25
10001045,365.0,0.0,0.0,,,,,50,0.25
10001094,730.0,0.0,0.0,,,,,50,0.25
10001099,365.0,0.0,0.0,,,,,50,0.25
10001100,365.0,0.0,0.0,,,,,50,0.25
10001101,365.0,0.0,0.0,,,,,50,0.25
10001109,41245.0,0.0,0.0,,,,,50,0.25
10001247,3650.0,108.08,27.02,116.23,31.4,58.12,3140.4,50,0.25
10001315,19.62,0.0,0.0,,,,,50,0.25
10001316,19.62,0.0,0.0,,,,,50,0.25
10001318,365.0,1728.14,432.035,9.19,39.72,4.6,3973.36,50,0.25
10001423,365.0,20.0,5.0,85.44,4.27,42.72,427.1,50,0.25
10001424,365.0,17.5,4.375,91.34,4.0,45.67,399.81,50,0.25
10001428,365.0,1728.14,432.035,9.19,39.72,4.6,3973.36,50,0.25
10001487,730.0,0.0,0.0,,,,,50,0.25
10001488,730.0,0.0,0.0,,,,,50,0.25
10001489,365.0,3952.9,988.225,6.08,60.03,3.04,6005.7,50,0.25
10001493,365.0,0.0,0.0,,,,,50,0.25
10001770,730.0,246.81,61.7025,34.4,21.22,17.2,2122.28,50,0.25
10001923,730.0,0.0,0.0,,,,,50,0.25
10001924,730.0,0.0,0.0,,,,,50,0.25
10002033,3650.0,1.548,0.387,971.16,3.76,485.58,375.92,50,0.25
10002118,1460.0,1137.18,284.295,22.66,64.43,11.33,6442.56,50,0.25
